"","Pvalue","Qvalue","Qvalue.perm","R2","coef_","High Mean","HV Mean","High nzMean","HV nzMean","log2(AbundRatio)","High preval","HV preval","PrevRatio"
"p__Bacteroidetes;s__Odoribacter_splanchnicus",0.033,0.184105263157895,0.182008095051573,0.137842975712239,0.0445413994103026,0.00189384176692418,0.00764784612589775,0.0113630506015451,0.0133837307203211,2.0137376999992,0.166666666666667,0.571428571428571,3.42857142857143
"p__Bacteroidetes;s__Parabacteroides_distasonis",0.833,0.896181818181818,0.898638638638639,0.00138594098602365,0.00408258679703536,0.00431133260653642,0.00529885614548983,0.00739085589691957,0.00927299825460719,0.297547094853485,0.583333333333333,0.571428571428571,0.979591836734694
"p__Bacteroidetes;s__Parabacteroides_goldsteinii",0.111,0.267409090909091,0.282123032123032,0.0799634224919637,0.0116590084387728,0,0.0012102484896872,NA,0.00508304365668623,Inf,0,0.238095238095238,Inf
"p__Bacteroidetes;s__Parabacteroides_johnsonii",0.083,0.236461538461538,0.237913589264941,0.0968519909219447,0.0324008755047609,1.0133339413337e-05,0.00604826812901531,0.000121600072960044,0.0254027261418643,9.22126859907332,0.0833333333333333,0.238095238095238,2.85714285714286
"p__Bacteroidetes;s__Parabacteroides_merdae",0.218,0.420145454545455,0.435417235417235,0.0500574834192285,0.0524581753548081,0.0218576510414005,0.0293664582279218,0.043715302082801,0.0385434764241473,0.426030910033662,0.5,0.761904761904762,1.52380952380952
"p__Bacteroidetes;s__Parabacteroides_unclassified",0.013,0.114153846153846,0.111650111650112,0.181062433681622,-0.0459796380988801,0.0177590825816652,0.000989533003902151,0.0355181651633304,0.00415603861638903,-4.16566541875682,0.5,0.238095238095238,0.476190476190476
"p__Bacteroidetes;s__Paraprevotella_clara",0.064,0.205575757575758,0.206441735853501,0.10776247198539,0.0125837701975999,0,0.000587759427488421,NA,0.00246858959545137,Inf,0,0.238095238095238,Inf
"p__Bacteroidetes;s__Paraprevotella_unclassified",0.041,0.195692307692308,0.188652938652939,0.120367278561273,0.0253210030387407,0,0.00226271810753817,NA,0.00950341605166032,Inf,0,0.238095238095238,Inf
"p__Bacteroidetes;s__Prevotella_copri",0.601,0.740781609195402,0.750524333857667,0.00978300250583902,0.0424746180221065,0.0317942226589679,0.0643388020935141,0.190765335953807,0.193016406280542,1.01692443847147,0.166666666666667,0.333333333333333,2
"p__Bacteroidetes;s__Alistipes_finegoldii",0.007,0.09275,0.0371621621621622,0.254129894444971,0.0402725253566708,0.000728824842808099,0.00358519469278928,0.0029152993712324,0.00442876991462205,2.29840742516122,0.25,0.80952380952381,3.23809523809524
